team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;% of defeats in overtime;goals_ratio
Dallas Stars;2003;41;26;2;50.0;194;175;19;7.14;1.11
Detroit Red Wings;2003;48;21;2;58.5;255;189;66;8.7;1.35
Edmonton Oilers;2003;36;29;5;43.9;221;208;13;14.71;1.06
Florida Panthers;2003;28;35;4;34.1;188;221;-33;10.26;0.85
Los Angeles Kings;2003;28;29;9;34.1;205;217;-12;23.68;0.94
Minnesota Wild;2003;30;29;3;36.6;188;183;5;9.38;1.03
Montreal Canadiens;2003;41;30;4;50.0;208;192;16;11.76;1.08
Nashville Predators;2003;38;29;4;46.3;216;217;-1;12.12;1.0
New Jersey Devils;2003;43;25;2;52.4;213;164;49;7.41;1.3
New York Islanders;2003;38;29;4;46.3;237;210;27;12.12;1.13
New York Rangers;2003;27;40;8;32.9;206;250;-44;16.67;0.82
Ottawa Senators;2003;43;23;6;52.4;262;189;73;20.69;1.39
Philadelphia Flyers;2003;40;21;6;48.8;229;186;43;22.22;1.23
Phoenix Coyotes;2003;22;36;6;26.8;188;245;-57;14.29;0.77
Pittsburgh Penguins;2003;23;47;4;28.0;190;303;-113;7.84;0.63
San Jose Sharks;2003;43;21;6;52.4;219;183;36;22.22;1.2
St. Louis Blues;2003;39;30;2;47.6;191;198;-7;6.25;0.96
Tampa Bay Lightning;2003;46;22;6;56.1;245;192;53;21.43;1.28
Toronto Maple Leafs;2003;45;24;3;54.9;242;204;38;11.11;1.19
Vancouver Canucks;2003;43;24;5;52.4;235;194;41;17.24;1.21
Washington Capitals;2003;23;46;3;28.0;186;253;-67;6.12;0.74
Mighty Ducks of Anaheim;2005;43;27;12;52.4;254;229;25;30.77;1.11
Atlanta Thrashers;2005;41;33;8;50.0;281;275;6;19.51;1.02
Boston Bruins;2005;29;37;16;35.4;230;266;-36;30.19;0.86
Buffalo Sabres;2005;52;24;6;63.4;281;239;42;20.0;1.18
Calgary Flames;2005;46;25;11;56.1;218;200;18;30.56;1.09
Carolina Hurricanes;2005;52;22;8;63.4;294;260;34;26.67;1.13
Columbus Blue Jackets;2005;35;43;4;42.7;223;279;-56;8.51;0.8
Chicago Blackhawks;2005;26;43;13;31.7;211;285;-74;23.21;0.74
Colorado Avalanche;2005;43;30;9;52.4;283;257;26;23.08;1.1
Dallas Stars;2005;53;23;6;64.6;265;218;47;20.69;1.22
Detroit Red Wings;2005;58;16;8;70.7;305;209;96;33.33;1.46
Edmonton Oilers;2005;41;28;13;50.0;256;251;5;31.71;1.02
Florida Panthers;2005;37;34;11;45.1;240;257;-17;24.44;0.93
Los Angeles Kings;2005;42;35;5;51.2;249;270;-21;12.5;0.92
Minnesota Wild;2005;38;36;8;46.3;231;215;16;18.18;1.07
Montreal Canadiens;2005;42;31;9;51.2;243;247;-4;22.5;0.98
Nashville Predators;2005;49;25;8;59.8;259;227;32;24.24;1.14
New Jersey Devils;2005;46;27;9;56.1;242;229;13;25.0;1.06
New York Islanders;2005;36;40;6;43.9;230;278;-48;13.04;0.83
New York Rangers;2005;44;26;12;53.7;257;215;42;31.58;1.2
Ottawa Senators;2005;52;21;9;63.4;314;211;103;30.0;1.49
Philadelphia Flyers;2005;45;26;11;54.9;267;259;8;29.73;1.03
Phoenix Coyotes;2005;38;39;5;46.3;246;271;-25;11.36;0.91
Pittsburgh Penguins;2005;22;46;14;26.8;244;316;-72;23.33;0.77
San Jose Sharks;2005;44;27;11;53.7;266;242;24;28.95;1.1
St. Louis Blues;2005;21;46;15;25.6;197;292;-95;24.59;0.67
Tampa Bay Lightning;2005;43;33;6;52.4;252;260;-8;15.38;0.97
Toronto Maple Leafs;2005;41;33;8;50.0;257;270;-13;19.51;0.95
Vancouver Canucks;2005;42;32;8;51.2;256;255;1;20.0;1.0
Washington Capitals;2005;29;41;12;35.4;237;306;-69;22.64;0.77
Anaheim Ducks;2006;48;20;14;58.5;258;208;50;41.18;1.24
Atlanta Thrashers;2006;43;28;11;52.4;246;245;1;28.21;1.0
Boston Bruins;2006;35;41;6;42.7;219;289;-70;12.77;0.76
Buffalo Sabres;2006;53;22;7;64.6;308;242;66;24.14;1.27
Calgary Flames;2006;43;29;10;52.4;258;226;32;25.64;1.14
Carolina Hurricanes;2006;40;34;8;48.8;241;253;-12;19.05;0.95
Columbus Blue Jackets;2006;33;42;7;40.2;201;249;-48;14.29;0.81
Chicago Blackhawks;2006;31;42;9;37.8;201;258;-57;17.65;0.78
Colorado Avalanche;2006;44;31;7;53.7;272;251;21;18.42;1.08
Dallas Stars;2006;50;25;7;61.0;226;197;29;21.88;1.15
Detroit Red Wings;2006;50;19;13;61.0;254;199;55;40.62;1.28
Edmonton Oilers;2006;32;43;7;39.0;195;248;-53;14.0;0.79
Florida Panthers;2006;35;31;16;42.7;247;257;-10;34.04;0.96
Los Angeles Kings;2006;27;41;14;32.9;227;283;-56;25.45;0.8
Minnesota Wild;2006;48;26;8;58.5;235;191;44;23.53;1.23
Montreal Canadiens;2006;42;34;6;51.2;245;256;-11;15.0;0.96
Nashville Predators;2006;51;23;8;62.2;272;212;60;25.81;1.28
New Jersey Devils;2006;49;24;9;59.8;216;201;15;27.27;1.07
New York Islanders;2006;40;30;12;48.8;248;240;8;28.57;1.03
New York Rangers;2006;42;30;10;51.2;242;216;26;25.0;1.12
Ottawa Senators;2006;48;25;9;58.5;288;222;66;26.47;1.3
Philadelphia Flyers;2006;22;48;12;26.8;214;303;-89;20.0;0.71
Phoenix Coyotes;2006;31;46;5;37.8;216;284;-68;9.8;0.76
Pittsburgh Penguins;2006;47;24;11;57.3;277;246;31;31.43;1.13
San Jose Sharks;2006;51;26;5;62.2;258;199;59;16.13;1.3
St. Louis Blues;2006;34;35;13;41.5;214;254;-40;27.08;0.84
Tampa Bay Lightning;2006;44;33;5;53.7;253;261;-8;13.16;0.97
Toronto Maple Leafs;2006;40;31;11;48.8;258;269;-11;26.19;0.96
Vancouver Canucks;2006;49;26;7;59.8;222;201;21;21.21;1.1
Washington Capitals;2006;28;40;14;34.1;235;286;-51;25.93;0.82
Anaheim Ducks;2007;47;27;8;57.3;205;191;14;22.86;1.07
Atlanta Thrashers;2007;34;40;8;41.5;216;272;-56;16.67;0.79
Boston Bruins;2007;41;29;12;50.0;212;222;-10;29.27;0.95
Buffalo Sabres;2007;39;31;12;47.6;255;242;13;27.91;1.05
Calgary Flames;2007;42;30;10;51.2;229;227;2;25.0;1.01
Carolina Hurricanes;2007;43;33;6;52.4;252;249;3;15.38;1.01
Columbus Blue Jackets;2007;34;36;12;41.5;193;218;-25;25.0;0.89
Chicago Blackhawks;2007;40;34;8;48.8;239;235;4;19.05;1.02
Colorado Avalanche;2007;44;31;7;53.7;231;219;12;18.42;1.05
Dallas Stars;2007;45;30;7;54.9;242;207;35;18.92;1.17
Detroit Red Wings;2007;54;21;7;65.9;257;184;73;25.0;1.4
Edmonton Oilers;2007;41;35;6;50.0;235;251;-16;14.63;0.94
Florida Panthers;2007;38;35;9;46.3;216;226;-10;20.45;0.96
Los Angeles Kings;2007;32;43;7;39.0;231;266;-35;14.0;0.87
Minnesota Wild;2007;44;28;10;53.7;223;218;5;26.32;1.02
Montreal Canadiens;2007;47;25;10;57.3;262;222;40;28.57;1.18
Nashville Predators;2007;41;32;9;50.0;230;229;1;21.95;1.0
New Jersey Devils;2007;46;29;7;56.1;206;197;9;19.44;1.05
New York Islanders;2007;35;38;9;42.7;194;243;-49;19.15;0.8
New York Rangers;2007;42;27;13;51.2;213;199;14;32.5;1.07
Ottawa Senators;2007;43;31;8;52.4;261;247;14;20.51;1.06
Philadelphia Flyers;2007;42;29;11;51.2;248;233;15;27.5;1.06
Phoenix Coyotes;2007;38;37;7;46.3;214;231;-17;15.91;0.93
Pittsburgh Penguins;2007;47;27;8;57.3;247;216;31;22.86;1.14
San Jose Sharks;2007;49;23;10;59.8;222;193;29;30.3;1.15
St. Louis Blues;2007;33;36;13;40.2;205;237;-32;26.53;0.86
Tampa Bay Lightning;2007;31;42;9;37.8;223;267;-44;17.65;0.84
Toronto Maple Leafs;2007;36;35;11;43.9;231;260;-29;23.91;0.89
Vancouver Canucks;2007;39;33;10;47.6;213;215;-2;23.26;0.99
Washington Capitals;2007;43;31;8;52.4;242;231;11;20.51;1.05
Anaheim Ducks;2008;42;33;7;51.2;245;238;7;17.5;1.03
Atlanta Thrashers;2008;35;41;6;42.7;257;280;-23;12.77;0.92
Boston Bruins;2008;53;19;10;64.6;274;196;78;34.48;1.4
Buffalo Sabres;2008;41;32;9;50.0;250;234;16;21.95;1.07
Calgary Flames;2008;46;30;6;56.1;254;248;6;16.67;1.02
Carolina Hurricanes;2008;45;30;7;54.9;239;226;13;18.92;1.06
Columbus Blue Jackets;2008;41;31;10;50.0;226;230;-4;24.39;0.98
Chicago Blackhawks;2008;46;24;12;56.1;264;216;48;33.33;1.22
Colorado Avalanche;2008;32;45;5;39.0;199;257;-58;10.0;0.77
Dallas Stars;2008;36;35;11;43.9;230;257;-27;23.91;0.89
Detroit Red Wings;2008;51;21;10;62.2;295;244;51;32.26;1.21
Edmonton Oilers;2008;38;35;9;46.3;234;248;-14;20.45;0.94
Florida Panthers;2008;41;30;11;50.0;234;231;3;26.83;1.01
Detroit Red Wings;1991;43;25;0;53.7;320;256;64;0.0;1.25
Edmonton Oilers;1991;36;34;0;45.0;295;297;-2;0.0;0.99
Hartford Whalers;1991;26;41;0;32.5;247;283;-36;0.0;0.87
Los Angeles Kings;1991;35;31;0;43.8;287;296;-9;0.0;0.97
Minnesota North Stars;1991;32;42;0;40.0;246;278;-32;0.0;0.88
Montreal Canadiens;1991;41;28;0;51.2;267;207;60;0.0;1.29
New Jersey Devils;1991;38;31;0;47.5;289;259;30;0.0;1.12
New York Islanders;1991;34;35;0;42.5;291;299;-8;0.0;0.97
New York Rangers;1991;50;25;0;62.5;321;246;75;0.0;1.3
Philadelphia Flyers;1991;32;37;0;40.0;252;273;-21;0.0;0.92
Pittsburgh Penguins;1991;39;32;0;48.7;343;308;35;0.0;1.11
Quebec Nordiques;1991;20;48;0;25.0;255;318;-63;0.0;0.8
San Jose Sharks;1991;17;58;0;21.2;219;359;-140;0.0;0.61
St. Louis Blues;1991;36;33;0;45.0;279;266;13;0.0;1.05
Toronto Maple Leafs;1991;30;43;0;37.5;234;294;-60;0.0;0.8
Vancouver Canucks;1991;42;26;0;52.5;285;250;35;0.0;1.14
Washington Capitals;1991;45;27;0;56.2;330;275;55;0.0;1.2
Winnipeg Jets;1991;33;32;0;41.2;251;244;7;0.0;1.03
Boston Bruins;1992;51;26;0;60.7;332;268;64;0.0;1.24
Buffalo Sabres;1992;38;36;0;45.2;335;297;38;0.0;1.13
Calgary Flames;1992;43;30;0;51.2;322;282;40;0.0;1.14
Chicago Blackhawks;1992;47;25;0;56.0;279;230;49;0.0;1.21
Detroit Red Wings;1992;47;28;0;56.0;369;280;89;0.0;1.32
Edmonton Oilers;1992;26;50;0;31.0;242;337;-95;0.0;0.72
Hartford Whalers;1992;26;52;0;31.0;284;369;-85;0.0;0.77
Los Angeles Kings;2008;34;37;11;41.5;207;234;-27;22.92;0.88
Minnesota Wild;2008;40;33;9;48.8;219;200;19;21.43;1.1
Montreal Canadiens;2008;41;30;11;50.0;249;247;2;26.83;1.01
Nashville Predators;2008;40;34;8;48.8;213;233;-20;19.05;0.91
New Jersey Devils;2008;51;27;4;62.2;244;209;35;12.9;1.17
New York Islanders;2008;26;47;9;31.7;201;279;-78;16.07;0.72
New York Rangers;2008;43;30;9;52.4;210;218;-8;23.08;0.96
