team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;% of defeats in overtime;goals_ratio
Los Angeles Kings;1996;28;43;0;34.1;214;268;-54;0.0;0.8
Montreal Canadiens;1996;31;36;0;37.8;249;276;-27;0.0;0.9
New Jersey Devils;1996;45;23;0;54.9;231;182;49;0.0;1.27
New York Islanders;1996;29;41;0;35.4;240;250;-10;0.0;0.96
New York Rangers;1996;38;34;0;46.3;258;231;27;0.0;1.12
Ottawa Senators;1996;31;36;0;37.8;226;234;-8;0.0;0.97
Philadelphia Flyers;1996;45;24;0;54.9;274;217;57;0.0;1.26
Phoenix Coyotes;1996;38;37;0;46.3;240;243;-3;0.0;0.99
Pittsburgh Penguins;1996;38;36;0;46.3;285;280;5;0.0;1.02
San Jose Sharks;1996;27;47;0;32.9;211;278;-67;0.0;0.76
St. Louis Blues;1996;36;35;0;43.9;236;239;-3;0.0;0.99
Tampa Bay Lightning;1996;32;40;0;39.0;217;247;-30;0.0;0.88
Toronto Maple Leafs;1996;30;44;0;36.6;230;273;-43;0.0;0.84
Vancouver Canucks;1996;35;40;0;42.7;257;273;-16;0.0;0.94
Washington Capitals;1996;33;40;0;40.2;214;231;-17;0.0;0.93
Mighty Ducks of Anaheim;1997;26;43;0;31.7;205;261;-56;0.0;0.79
Boston Bruins;1997;39;30;0;47.6;221;194;27;0.0;1.14
Buffalo Sabres;1997;36;29;0;43.9;211;187;24;0.0;1.13
Calgary Flames;1997;26;41;0;31.7;217;252;-35;0.0;0.86
Carolina Hurricanes;1997;33;41;0;40.2;200;219;-19;0.0;0.91
Chicago Blackhawks;1997;30;39;0;36.6;192;199;-7;0.0;0.96
Colorado Avalanche;1997;39;26;0;47.6;231;205;26;0.0;1.13
Dallas Stars;1997;49;22;0;59.8;242;167;75;0.0;1.45
Detroit Red Wings;1997;44;23;0;53.7;250;196;54;0.0;1.28
Edmonton Oilers;1997;35;37;0;42.7;215;224;-9;0.0;0.96
Florida Panthers;1997;24;43;0;29.3;203;256;-53;0.0;0.79
Los Angeles Kings;1997;38;33;0;46.3;227;225;2;0.0;1.01
Montreal Canadiens;1997;37;32;0;45.1;235;208;27;0.0;1.13
New Jersey Devils;1997;48;23;0;58.5;225;166;59;0.0;1.36
New York Islanders;1997;30;41;0;36.6;212;225;-13;0.0;0.94
New York Rangers;1997;25;39;0;30.5;197;231;-34;0.0;0.85
Ottawa Senators;1997;34;33;0;41.5;193;200;-7;0.0;0.96
Philadelphia Flyers;1997;42;29;0;51.2;242;193;49;0.0;1.25
Phoenix Coyotes;1997;35;35;0;42.7;224;227;-3;0.0;0.99
Pittsburgh Penguins;1997;40;24;0;48.8;228;188;40;0.0;1.21
San Jose Sharks;1997;34;38;0;41.5;210;216;-6;0.0;0.97
St. Louis Blues;1997;45;29;0;54.9;256;204;52;0.0;1.25
Tampa Bay Lightning;1997;17;55;0;20.7;151;269;-118;0.0;0.56
Toronto Maple Leafs;1997;30;43;0;36.6;194;237;-43;0.0;0.82
Vancouver Canucks;1997;25;43;0;30.5;224;273;-49;0.0;0.82
Washington Capitals;1997;40;30;0;48.8;219;202;17;0.0;1.08
Mighty Ducks of Anaheim;1998;35;34;0;42.7;215;206;9;0.0;1.04
Boston Bruins;1998;39;30;0;47.6;214;181;33;0.0;1.18
Buffalo Sabres;1998;37;28;0;45.1;207;175;32;0.0;1.18
Calgary Flames;1998;30;40;0;36.6;211;234;-23;0.0;0.9
Carolina Hurricanes;1998;34;30;0;41.5;210;202;8;0.0;1.04
Chicago Blackhawks;1998;29;41;0;35.4;202;248;-46;0.0;0.81
Colorado Avalanche;1998;44;28;0;53.7;239;205;34;0.0;1.17
Dallas Stars;1998;51;19;0;62.2;236;168;68;0.0;1.4
Detroit Red Wings;1998;43;32;0;52.4;245;202;43;0.0;1.21
Edmonton Oilers;1998;33;37;0;40.2;230;226;4;0.0;1.02
Florida Panthers;1998;30;34;0;36.6;210;228;-18;0.0;0.92
Los Angeles Kings;1998;32;45;0;39.0;189;222;-33;0.0;0.85
Montreal Canadiens;1998;32;39;0;39.0;184;209;-25;0.0;0.88
